top_k,scenario_id,run,input_tokens,latency
3,1,1,543,15.011011600494385
3,1,2,543,4.643975496292114
3,1,3,543,16.325757265090942
3,2,1,538,6.267073154449463
3,2,2,538,9.24605417251587
3,2,3,538,9.156825304031372
3,3,1,535,10.164822816848755
3,3,2,535,8.84936237335205
3,3,3,535,9.33945083618164
3,4,1,543,10.375316858291626
3,4,2,543,9.682403326034546
3,4,3,543,6.7833850383758545
3,5,1,539,3.9560303688049316
3,5,2,539,4.356374502182007
3,5,3,539,5.658471345901489
5,1,1,619,8.561607599258423
5,1,2,619,7.122403144836426
5,1,3,619,7.483307600021362
5,2,1,618,6.567246437072754
5,2,2,618,16.075581550598145
5,2,3,618,26.31937885284424
5,3,1,630,9.666471242904663
5,3,2,630,17.851003170013428
5,3,3,630,7.4572227001190186
5,4,1,624,9.521406173706055
5,4,2,624,26.064098119735718
5,4,3,624,9.037078619003296
5,5,1,618,13.677620887756348
5,5,2,618,5.767110109329224
5,5,3,618,5.660984039306641
10,1,1,840,4.812467575073242
10,1,2,840,9.38992977142334
10,1,3,840,6.411209344863892
10,2,1,839,7.870390176773071
10,2,2,839,10.491669178009033
10,2,3,839,6.772563457489014
10,3,1,838,20.212127923965454
10,3,2,838,25.865330934524536
10,3,3,838,21.34408211708069
10,4,1,840,6.987525463104248
10,4,2,840,9.6134512424469
10,4,3,840,10.28223991394043
10,5,1,839,5.31830620765686
10,5,2,839,6.069678068161011
10,5,3,839,6.330656290054321
